trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",25,12,24.654444730089747,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",25,15,8.762959637487274,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",20,0,-3.083679872434475,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,12,-5.396779850668026,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,4,-32.523630094345826,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,13,12.476344094946624,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",20,3,14.27635702930919,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,15,9.170908361670811,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",30,8,-16.5414958451089,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",30,0,26.864763454254202,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,16,8.226067393558065,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,17,12.321052510709361,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,0,-2.137726805946703,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",20,8,14.27733903469596,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",30,13,-1.8683605964830183,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",20,2,17.10363607625726,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",20,10,15.492626235134008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",25,14,23.701767501311387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",20,2,1.35915468108347,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",20,11,-64.33021928539392,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",20,0,26.059201799775234,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",35,24,-31.06591839611618,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",25,14,17.841500679507035,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",20,0,-24.623309690142918,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",25,7,30.393106472714273,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,3,-1.6434473939986958,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",20,10,9.563459034875137,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",30,11,19.127262098515704,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",20,0,-12.056221302957496,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",25,10,-24.965197140695867,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",20,0,-7.951995800542292,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,13,22.09508451017681,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",20,13,3.8119119211954677,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",20,0,15.660565656803385,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",20,0,18.874648352446314,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",20,12,15.801602780380117,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",25,0,-8.566967159686309,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",25,11,14.238365339877198,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",25,7,-29.610031121908857,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",20,0,-54.836274094930864,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",20,8,-60.48314802183989,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",30,16,12.933666209470847,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",30,7,-20.705439262334068,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",20,4,24.54829870218847,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",20,0,9.264992234234702,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",20,16,8.365682754641014,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",25,19,11.289255147509145,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978754}",35,18,32.72618413572211,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778965}",25,18,14.404563678488874,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671176}",20,14,14.410012120088956,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384465}",20,7,21.13488190032927,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1526797322759062}",25,10,14.223964916096524,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15115293495314713}",25,0,37.50718826815706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.14964140560361566}",20,11,13.679189000134887,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.1481449915475795}",20,6,15.62613621239535,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.1466635416321037}",20,6,14.521705244816973,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
